Host 	 Total Query 	 Success
neighborhood0 	 0 	 0 	 0.0
neighborhood1 	 0 	 0 	 0.0
neighborhood2 	 0 	 0 	 0.0
neighborhood3 	 0 	 0 	 0.0
neighborhood4 	 0 	 0 	 0.0
neighborhood5 	 0 	 0 	 0.0
neighborhood6 	 0 	 0 	 0.0
neighborhood7 	 0 	 0 	 0.0
neighborhood8 	 0 	 0 	 0.0
neighborhood9 	 0 	 0 	 0.0
house10 	 0 	 0 	 0.0
house11 	 0 	 0 	 0.0
house12 	 0 	 0 	 0.0
house13 	 0 	 0 	 0.0
house14 	 1 	 0 	 0.0
house15 	 1 	 0 	 0.0
house16 	 1 	 1 	 21043.0
house17 	 1 	 0 	 0.0
house18 	 2 	 1 	 2687.0
house19 	 1 	 0 	 0.0
house20 	 1 	 0 	 0.0
house21 	 0 	 0 	 0.0
house22 	 1 	 0 	 0.0
house23 	 1 	 1 	 2107.0
house24 	 3 	 0 	 0.0
house25 	 0 	 0 	 0.0
house26 	 0 	 0 	 0.0
house27 	 6 	 0 	 0.0
house28 	 5 	 0 	 0.0
house29 	 4 	 0 	 0.0
house30 	 0 	 0 	 0.0
house31 	 0 	 0 	 0.0
house32 	 0 	 0 	 0.0
house33 	 0 	 0 	 0.0
house34 	 2 	 2 	 7333.5
house35 	 1 	 0 	 0.0
house36 	 4 	 0 	 0.0
house37 	 3 	 0 	 0.0
house38 	 2 	 2 	 40628.5
house39 	 4 	 0 	 0.0
house40 	 0 	 0 	 0.0
house41 	 1 	 0 	 0.0
house42 	 1 	 0 	 0.0
house43 	 3 	 0 	 0.0
house44 	 0 	 0 	 0.0
house45 	 0 	 0 	 0.0
house46 	 1 	 0 	 0.0
house47 	 0 	 0 	 0.0
house48 	 2 	 0 	 0.0
house49 	 1 	 1 	 2016.0
house50 	 0 	 0 	 0.0
house51 	 1 	 0 	 0.0
house52 	 2 	 0 	 0.0
house53 	 1 	 0 	 0.0
house54 	 1 	 0 	 0.0
house55 	 2 	 2 	 2664.5
house56 	 3 	 1 	 13455.0
house57 	 3 	 0 	 0.0
house58 	 2 	 0 	 0.0
house59 	 1 	 0 	 0.0
house60 	 2 	 0 	 0.0
house61 	 2 	 0 	 0.0
house62 	 1 	 0 	 0.0
house63 	 2 	 2 	 3258.0
house64 	 0 	 0 	 0.0
house65 	 0 	 0 	 0.0
house66 	 0 	 0 	 0.0
house67 	 4 	 1 	 2177.0
house68 	 1 	 0 	 0.0
house69 	 2 	 1 	 1899.0
house70 	 0 	 0 	 0.0
house71 	 0 	 0 	 0.0
house72 	 2 	 0 	 0.0
house73 	 0 	 0 	 0.0
house74 	 0 	 0 	 0.0
house75 	 4 	 0 	 0.0
house76 	 0 	 0 	 0.0
house77 	 0 	 0 	 0.0
house78 	 1 	 0 	 0.0
house79 	 3 	 1 	 2621.0
house80 	 0 	 0 	 0.0
house81 	 2 	 1 	 1455.0
house82 	 0 	 0 	 0.0
house83 	 3 	 0 	 0.0
house84 	 0 	 0 	 0.0
house85 	 0 	 0 	 0.0
house86 	 0 	 0 	 0.0
house87 	 7 	 6 	 8762.666666666666
house88 	 1 	 0 	 0.0
house89 	 3 	 0 	 0.0
house90 	 0 	 0 	 0.0
house91 	 1 	 1 	 6174.0
house92 	 0 	 0 	 0.0
house93 	 1 	 0 	 0.0
house94 	 2 	 2 	 23507.5
house95 	 0 	 0 	 0.0
house96 	 1 	 0 	 0.0
house97 	 1 	 0 	 0.0
house98 	 7 	 0 	 0.0
house99 	 0 	 0 	 0.0
house100 	 4 	 0 	 0.0
house101 	 2 	 1 	 4656.0
house102 	 3 	 1 	 390.0
house103 	 0 	 0 	 0.0
house104 	 2 	 2 	 4785.5
house105 	 0 	 0 	 0.0
house106 	 0 	 0 	 0.0
house107 	 1 	 0 	 0.0
house108 	 0 	 0 	 0.0
house109 	 0 	 0 	 0.0
reliefcenter110 	 0 	 0 	 0.0
reliefcenter111 	 4 	 4 	 5414.5
reliefcenter112 	 0 	 0 	 0.0
reliefcenter113 	 0 	 0 	 0.0
reliefcenter114 	 6 	 4 	 5604.0
reliefcenter115 	 2 	 2 	 4367.0
reliefcenter116 	 5 	 2 	 14742.5
reliefcenter117 	 1 	 0 	 0.0
reliefcenter118 	 0 	 0 	 0.0
mainreliefcenter119 	 3 	 2 	 2049.0
mainreliefcenter120 	 0 	 0 	 0.0
policestation121 	 1 	 0 	 0.0
publicworks122 	 0 	 0 	 0.0
evacuation123 	 0 	 0 	 0.0
evacuation124 	 2 	 0 	 0.0
evacuation125 	 1 	 1 	 21571.0
evacuation126 	 3 	 0 	 0.0
evacuation127 	 0 	 0 	 0.0
medical128 	 0 	 0 	 0.0
medical129 	 2 	 0 	 0.0
supply130 	 0 	 0 	 0.0
supply131 	 0 	 0 	 0.0
supply132 	 3 	 0 	 0.0
supply133 	 0 	 0 	 0.0
supply134 	 0 	 0 	 0.0
supply135 	 1 	 1 	 25342.0
supply136 	 1 	 0 	 0.0
supply137 	 1 	 0 	 0.0
supply138 	 2 	 2 	 1487.5
supply139 	 10 	 0 	 0.0
supply140 	 1 	 0 	 0.0
supply141 	 0 	 0 	 0.0
supply142 	 6 	 0 	 0.0
supply143 	 0 	 0 	 0.0
supply144 	 1 	 0 	 0.0
supply145 	 2 	 0 	 0.0
supply146 	 4 	 0 	 0.0
supply147 	 2 	 0 	 0.0
supply148 	 1 	 0 	 0.0
supply149 	 0 	 0 	 0.0
emergency150 	 3 	 1 	 4367.0
emergency151 	 1 	 0 	 0.0
emergency152 	 1 	 0 	 0.0
emergency153 	 3 	 0 	 0.0
repairer154 	 3 	 1 	 57188.0
rescue155 	 4 	 0 	 0.0
rescue156 	 0 	 0 	 0.0
rescue157 	 3 	 2 	 20368.5
rescue158 	 2 	 0 	 0.0
rescue159 	 0 	 0 	 0.0
rescue160 	 0 	 0 	 0.0
rescue161 	 0 	 0 	 0.0
rescue162 	 0 	 0 	 0.0
rescue163 	 2 	 0 	 0.0
rescue164 	 1 	 0 	 0.0
rescue165 	 0 	 0 	 0.0
rescue166 	 0 	 0 	 0.0
rescue167 	 0 	 0 	 0.0
rescue168 	 2 	 0 	 0.0
rescue169 	 0 	 0 	 0.0
rescue170 	 0 	 0 	 0.0
rescue171 	 0 	 0 	 0.0
rescue172 	 0 	 0 	 0.0
rescue173 	 4 	 3 	 19249.0
rescue174 	 0 	 0 	 0.0
rescue175 	 1 	 0 	 0.0
rescue176 	 1 	 0 	 0.0
rescue177 	 2 	 1 	 4830.0
rescue178 	 1 	 0 	 0.0
rescue179 	 0 	 0 	 0.0
rescue180 	 3 	 3 	 3263.0
rescue181 	 0 	 0 	 0.0
rescue182 	 0 	 0 	 0.0
rescue183 	 0 	 0 	 0.0
rescue184 	 3 	 0 	 0.0
rescue185 	 0 	 0 	 0.0
rescue186 	 0 	 0 	 0.0
rescue187 	 0 	 0 	 0.0
rescue188 	 4 	 4 	 19421.5
rescue189 	 1 	 1 	 7330.0
rescue190 	 0 	 0 	 0.0
rescue191 	 0 	 0 	 0.0
rescue192 	 3 	 1 	 15474.0
rescue193 	 1 	 0 	 0.0
rescue194 	 0 	 0 	 0.0
policepatrol195 	 2 	 1 	 8166.0
policepatrol196 	 2 	 0 	 0.0
policepatrol197 	 1 	 0 	 0.0
policepatrol198 	 0 	 0 	 0.0
policepatrol199 	 2 	 2 	 31396.0
people200 	 3 	 1 	 314.0
people201 	 1 	 0 	 0.0
people202 	 0 	 0 	 0.0
people203 	 1 	 0 	 0.0
people204 	 3 	 0 	 0.0
people205 	 1 	 0 	 0.0
people206 	 3 	 3 	 3105.0
people207 	 0 	 0 	 0.0
people208 	 0 	 0 	 0.0
people209 	 0 	 0 	 0.0
people210 	 0 	 0 	 0.0
people211 	 0 	 0 	 0.0
people212 	 4 	 0 	 0.0
people213 	 0 	 0 	 0.0
people214 	 0 	 0 	 0.0
people215 	 1 	 0 	 0.0
people216 	 5 	 0 	 0.0
people217 	 4 	 0 	 0.0
people218 	 4 	 0 	 0.0
people219 	 0 	 0 	 0.0
people220 	 2 	 0 	 0.0
people221 	 3 	 0 	 0.0
people222 	 4 	 1 	 3901.0
people223 	 5 	 2 	 13877.0
people224 	 0 	 0 	 0.0
people225 	 0 	 0 	 0.0
people226 	 0 	 0 	 0.0
people227 	 0 	 0 	 0.0
people228 	 0 	 0 	 0.0
people229 	 0 	 0 	 0.0
people230 	 0 	 0 	 0.0
people231 	 0 	 0 	 0.0
people232 	 0 	 0 	 0.0
people233 	 0 	 0 	 0.0
people234 	 0 	 0 	 0.0
people235 	 0 	 0 	 0.0
people236 	 0 	 0 	 0.0
people237 	 0 	 0 	 0.0
people238 	 0 	 0 	 0.0
people239 	 0 	 0 	 0.0
people240 	 0 	 0 	 0.0
people241 	 0 	 0 	 0.0
people242 	 0 	 0 	 0.0
people243 	 0 	 0 	 0.0
people244 	 0 	 0 	 0.0
people245 	 0 	 0 	 0.0
people246 	 0 	 0 	 0.0
people247 	 0 	 0 	 0.0
people248 	 0 	 0 	 0.0
people249 	 0 	 0 	 0.0
people250 	 0 	 0 	 0.0
people251 	 0 	 0 	 0.0
people252 	 0 	 0 	 0.0
people253 	 0 	 0 	 0.0
people254 	 0 	 0 	 0.0
people255 	 0 	 0 	 0.0
people256 	 0 	 0 	 0.0
people257 	 0 	 0 	 0.0
people258 	 0 	 0 	 0.0
people259 	 0 	 0 	 0.0
people260 	 0 	 0 	 0.0
people261 	 0 	 0 	 0.0
people262 	 0 	 0 	 0.0
people263 	 0 	 0 	 0.0
people264 	 0 	 0 	 0.0
people265 	 0 	 0 	 0.0
people266 	 0 	 0 	 0.0
people267 	 0 	 0 	 0.0
people268 	 0 	 0 	 0.0
people269 	 0 	 0 	 0.0
people270 	 0 	 0 	 0.0
people271 	 0 	 0 	 0.0
people272 	 0 	 0 	 0.0
people273 	 0 	 0 	 0.0
people274 	 0 	 0 	 0.0
275 	 299 	 75 	 1616.1733333333334 	 84600.0 	 100000000 	 4
