Host 	 Total Query 	 Success
neighborhood0 	 0 	 0 	 0.0
neighborhood1 	 0 	 0 	 0.0
neighborhood2 	 0 	 0 	 0.0
neighborhood3 	 0 	 0 	 0.0
neighborhood4 	 0 	 0 	 0.0
neighborhood5 	 0 	 0 	 0.0
neighborhood6 	 0 	 0 	 0.0
neighborhood7 	 0 	 0 	 0.0
neighborhood8 	 0 	 0 	 0.0
neighborhood9 	 0 	 0 	 0.0
house10 	 0 	 0 	 0.0
house11 	 3 	 3 	 0.0
house12 	 7 	 7 	 0.0
house13 	 0 	 0 	 0.0
house14 	 1 	 1 	 0.0
house15 	 1 	 1 	 0.0
house16 	 1 	 1 	 0.0
house17 	 2 	 2 	 0.0
house18 	 0 	 0 	 0.0
house19 	 0 	 0 	 0.0
house20 	 0 	 0 	 0.0
house21 	 1 	 1 	 0.0
house22 	 1 	 1 	 0.0
house23 	 2 	 2 	 0.0
house24 	 2 	 2 	 0.0
house25 	 3 	 3 	 0.0
house26 	 0 	 0 	 0.0
house27 	 1 	 1 	 0.0
house28 	 0 	 0 	 0.0
house29 	 1 	 1 	 0.0
house30 	 0 	 0 	 0.0
house31 	 1 	 0 	 0.0
house32 	 0 	 0 	 0.0
house33 	 3 	 0 	 0.0
house34 	 1 	 1 	 0.0
house35 	 1 	 1 	 0.0
house36 	 2 	 2 	 0.0
house37 	 1 	 1 	 0.0
house38 	 0 	 0 	 0.0
house39 	 1 	 1 	 0.0
house40 	 1 	 1 	 0.0
house41 	 1 	 1 	 0.0
house42 	 0 	 0 	 0.0
house43 	 1 	 1 	 0.0
house44 	 1 	 1 	 0.0
house45 	 0 	 0 	 0.0
house46 	 4 	 4 	 0.0
house47 	 4 	 4 	 0.0
house48 	 3 	 3 	 0.0
house49 	 1 	 1 	 0.0
house50 	 1 	 1 	 0.0
house51 	 2 	 2 	 0.0
house52 	 1 	 1 	 0.0
house53 	 3 	 0 	 0.0
house54 	 1 	 1 	 0.0
house55 	 4 	 4 	 0.0
house56 	 2 	 2 	 0.0
house57 	 3 	 0 	 0.0
house58 	 4 	 4 	 0.0
house59 	 2 	 2 	 0.0
house60 	 1 	 1 	 0.0
house61 	 0 	 0 	 0.0
house62 	 1 	 0 	 0.0
house63 	 2 	 2 	 0.0
house64 	 0 	 0 	 0.0
house65 	 0 	 0 	 0.0
house66 	 3 	 3 	 0.0
house67 	 2 	 2 	 0.0
house68 	 1 	 1 	 0.0
house69 	 2 	 0 	 0.0
house70 	 1 	 1 	 0.0
house71 	 2 	 2 	 0.0
house72 	 2 	 2 	 0.0
house73 	 2 	 2 	 0.0
house74 	 0 	 0 	 0.0
house75 	 0 	 0 	 0.0
house76 	 1 	 1 	 0.0
house77 	 2 	 2 	 0.0
house78 	 0 	 0 	 0.0
house79 	 1 	 1 	 0.0
house80 	 1 	 1 	 0.0
house81 	 2 	 0 	 0.0
house82 	 3 	 0 	 0.0
house83 	 1 	 1 	 0.0
house84 	 0 	 0 	 0.0
house85 	 2 	 2 	 0.0
house86 	 1 	 1 	 0.0
house87 	 2 	 2 	 0.0
house88 	 4 	 4 	 0.0
house89 	 0 	 0 	 0.0
house90 	 2 	 2 	 0.0
house91 	 3 	 3 	 0.0
house92 	 1 	 1 	 0.0
house93 	 2 	 2 	 0.0
house94 	 1 	 1 	 0.0
house95 	 0 	 0 	 0.0
house96 	 1 	 1 	 0.0
house97 	 1 	 1 	 0.0
house98 	 0 	 0 	 0.0
house99 	 2 	 2 	 0.0
house100 	 0 	 0 	 0.0
house101 	 0 	 0 	 0.0
house102 	 1 	 0 	 0.0
house103 	 2 	 2 	 0.0
house104 	 1 	 1 	 0.0
house105 	 2 	 2 	 0.0
house106 	 3 	 3 	 0.0
house107 	 1 	 1 	 0.0
house108 	 0 	 0 	 0.0
house109 	 2 	 2 	 0.0
reliefcenter110 	 2 	 2 	 0.0
reliefcenter111 	 4 	 4 	 0.0
reliefcenter112 	 1 	 1 	 0.0
reliefcenter113 	 3 	 3 	 0.0
reliefcenter114 	 0 	 0 	 0.0
reliefcenter115 	 1 	 1 	 0.0
reliefcenter116 	 0 	 0 	 0.0
reliefcenter117 	 0 	 0 	 0.0
reliefcenter118 	 1 	 1 	 0.0
mainreliefcenter119 	 1 	 1 	 0.0
mainreliefcenter120 	 0 	 0 	 0.0
policestation121 	 7 	 7 	 0.0
publicworks122 	 1 	 1 	 0.0
evacuation123 	 1 	 1 	 0.0
evacuation124 	 1 	 0 	 0.0
evacuation125 	 0 	 0 	 0.0
evacuation126 	 5 	 5 	 0.0
evacuation127 	 1 	 1 	 0.0
medical128 	 3 	 3 	 0.0
medical129 	 1 	 1 	 0.0
supply130 	 0 	 0 	 0.0
supply131 	 2 	 2 	 0.0
supply132 	 0 	 0 	 0.0
supply133 	 0 	 0 	 0.0
supply134 	 2 	 2 	 0.0
supply135 	 5 	 5 	 0.0
supply136 	 5 	 5 	 0.0
supply137 	 0 	 0 	 0.0
supply138 	 1 	 1 	 0.0
supply139 	 0 	 0 	 0.0
supply140 	 1 	 1 	 0.0
supply141 	 2 	 2 	 0.0
supply142 	 0 	 0 	 0.0
supply143 	 0 	 0 	 0.0
supply144 	 1 	 1 	 0.0
supply145 	 0 	 0 	 0.0
supply146 	 1 	 1 	 0.0
supply147 	 0 	 0 	 0.0
supply148 	 1 	 1 	 0.0
supply149 	 0 	 0 	 0.0
emergency150 	 0 	 0 	 0.0
emergency151 	 1 	 1 	 0.0
emergency152 	 3 	 3 	 0.0
emergency153 	 1 	 1 	 0.0
repairer154 	 3 	 0 	 0.0
rescue155 	 3 	 3 	 0.0
rescue156 	 6 	 0 	 0.0
rescue157 	 1 	 1 	 0.0
rescue158 	 1 	 1 	 0.0
rescue159 	 1 	 1 	 0.0
rescue160 	 0 	 0 	 0.0
rescue161 	 4 	 4 	 0.0
rescue162 	 3 	 2 	 0.0
rescue163 	 0 	 0 	 0.0
rescue164 	 0 	 0 	 0.0
rescue165 	 0 	 0 	 0.0
rescue166 	 3 	 3 	 0.0
rescue167 	 3 	 3 	 0.0
rescue168 	 3 	 3 	 0.0
rescue169 	 2 	 2 	 0.0
rescue170 	 4 	 4 	 0.0
rescue171 	 0 	 0 	 0.0
rescue172 	 3 	 3 	 0.0
rescue173 	 4 	 4 	 0.0
rescue174 	 0 	 0 	 0.0
rescue175 	 1 	 1 	 0.0
rescue176 	 1 	 1 	 0.0
rescue177 	 0 	 0 	 0.0
rescue178 	 0 	 0 	 0.0
rescue179 	 2 	 2 	 0.0
rescue180 	 0 	 0 	 0.0
rescue181 	 2 	 2 	 0.0
rescue182 	 2 	 2 	 0.0
rescue183 	 1 	 1 	 0.0
rescue184 	 4 	 4 	 0.0
rescue185 	 3 	 3 	 0.0
rescue186 	 0 	 0 	 0.0
rescue187 	 5 	 5 	 0.0
rescue188 	 0 	 0 	 0.0
rescue189 	 1 	 1 	 0.0
rescue190 	 0 	 0 	 0.0
rescue191 	 1 	 1 	 0.0
rescue192 	 0 	 0 	 0.0
rescue193 	 1 	 1 	 0.0
rescue194 	 3 	 3 	 0.0
policepatrol195 	 0 	 0 	 0.0
policepatrol196 	 0 	 0 	 0.0
policepatrol197 	 1 	 1 	 0.0
policepatrol198 	 3 	 3 	 0.0
policepatrol199 	 2 	 2 	 0.0
people200 	 0 	 0 	 0.0
people201 	 3 	 3 	 0.0
people202 	 1 	 0 	 0.0
people203 	 3 	 3 	 0.0
people204 	 0 	 0 	 0.0
people205 	 0 	 0 	 0.0
people206 	 1 	 1 	 0.0
people207 	 0 	 0 	 0.0
people208 	 1 	 1 	 0.0
people209 	 3 	 3 	 0.0
people210 	 2 	 2 	 0.0
people211 	 2 	 2 	 0.0
people212 	 0 	 0 	 0.0
people213 	 0 	 0 	 0.0
people214 	 1 	 1 	 0.0
people215 	 0 	 0 	 0.0
people216 	 1 	 1 	 0.0
people217 	 1 	 1 	 0.0
people218 	 2 	 2 	 0.0
people219 	 1 	 1 	 0.0
people220 	 0 	 0 	 0.0
people221 	 1 	 1 	 0.0
people222 	 0 	 0 	 0.0
people223 	 2 	 0 	 0.0
people224 	 0 	 0 	 0.0
225 	 300 	 267 	 0.0 	 84600.00000043648 	 100000000 	 4
