Host 	 Total Query 	 Success
neighborhood0 	 0 	 0 	 0.0
neighborhood1 	 0 	 0 	 0.0
neighborhood2 	 0 	 0 	 0.0
neighborhood3 	 0 	 0 	 0.0
neighborhood4 	 0 	 0 	 0.0
neighborhood5 	 0 	 0 	 0.0
neighborhood6 	 0 	 0 	 0.0
neighborhood7 	 0 	 0 	 0.0
neighborhood8 	 0 	 0 	 0.0
neighborhood9 	 0 	 0 	 0.0
house10 	 0 	 0 	 0.0
house11 	 0 	 0 	 0.0
house12 	 0 	 0 	 0.0
house13 	 1 	 1 	 2977.1999998027095
house14 	 0 	 0 	 0.0
house15 	 0 	 0 	 0.0
house16 	 2 	 2 	 13440.149999735437
house17 	 0 	 0 	 0.0
house18 	 4 	 0 	 0.0
house19 	 0 	 0 	 0.0
house20 	 2 	 2 	 6142.949999669097
house21 	 3 	 3 	 2410.1999998784777
house22 	 1 	 1 	 2859.7999998453924
house23 	 3 	 3 	 15607.233332857411
house24 	 2 	 2 	 2915.349999803144
house25 	 0 	 0 	 0.0
house26 	 0 	 0 	 0.0
house27 	 1 	 1 	 3846.099999821261
house28 	 1 	 1 	 5405.999999889831
house29 	 0 	 0 	 0.0
house30 	 3 	 3 	 5318.066666410708
house31 	 0 	 0 	 0.0
house32 	 1 	 1 	 831.8999998613981
house33 	 0 	 0 	 0.0
house34 	 1 	 1 	 7101.199999803695
house35 	 0 	 0 	 0.0
house36 	 0 	 0 	 0.0
house37 	 3 	 3 	 4116.333333152369
house38 	 0 	 0 	 0.0
house39 	 2 	 2 	 8511.049999786443
house40 	 0 	 0 	 0.0
house41 	 5 	 5 	 3886.5999998017674
house42 	 2 	 2 	 1857.7499997715004
house43 	 0 	 0 	 0.0
house44 	 3 	 3 	 8057.8666663639315
house45 	 4 	 4 	 3294.4999998231197
house46 	 0 	 0 	 0.0
house47 	 5 	 5 	 29528.799999464198
house48 	 0 	 0 	 0.0
house49 	 1 	 1 	 19088.59999941785
house50 	 0 	 0 	 0.0
house51 	 4 	 4 	 8512.124999632526
house52 	 1 	 1 	 2047.89999989446
house53 	 2 	 0 	 0.0
house54 	 2 	 2 	 15464.649999463949
house55 	 2 	 2 	 250.04999980397588
house56 	 2 	 2 	 2876.3499997475974
house57 	 0 	 0 	 0.0
house58 	 0 	 0 	 0.0
house59 	 3 	 3 	 1509.3999997306248
house60 	 0 	 0 	 0.0
house61 	 0 	 0 	 0.0
house62 	 1 	 1 	 7354.69999980606
house63 	 0 	 0 	 0.0
house64 	 1 	 1 	 10702.09999972755
house65 	 3 	 3 	 13179.999999550397
house66 	 1 	 1 	 3386.6999996891827
house67 	 1 	 1 	 720.0999998434672
house68 	 0 	 0 	 0.0
house69 	 2 	 0 	 0.0
house70 	 2 	 2 	 1310.649999741745
house71 	 0 	 0 	 0.0
house72 	 2 	 2 	 8248.849999677568
house73 	 0 	 0 	 0.0
house74 	 1 	 0 	 0.0
house75 	 1 	 1 	 3373.199999863067
house76 	 1 	 1 	 1622.3999997413994
house77 	 0 	 0 	 0.0
house78 	 1 	 1 	 25772.899999566915
house79 	 5 	 5 	 19269.97999957009
house80 	 0 	 0 	 0.0
house81 	 1 	 0 	 0.0
house82 	 0 	 0 	 0.0
house83 	 4 	 4 	 9945.874999644955
house84 	 0 	 0 	 0.0
house85 	 0 	 0 	 0.0
house86 	 0 	 0 	 0.0
house87 	 0 	 0 	 0.0
house88 	 0 	 0 	 0.0
house89 	 7 	 7 	 33275.95714224024
house90 	 0 	 0 	 0.0
house91 	 3 	 3 	 3665.666666352721
house92 	 0 	 0 	 0.0
house93 	 1 	 1 	 13574.099999738843
house94 	 2 	 2 	 1647.5999996981918
house95 	 0 	 0 	 0.0
house96 	 0 	 0 	 0.0
house97 	 0 	 0 	 0.0
house98 	 0 	 0 	 0.0
house99 	 0 	 0 	 0.0
house100 	 0 	 0 	 0.0
house101 	 1 	 1 	 11923.599999517923
house102 	 1 	 0 	 0.0
house103 	 2 	 2 	 6451.649999749821
house104 	 0 	 0 	 0.0
house105 	 3 	 3 	 2762.3333330030414
house106 	 3 	 3 	 15999.333332876076
house107 	 4 	 4 	 3471.224999718336
house108 	 0 	 0 	 0.0
house109 	 0 	 0 	 0.0
reliefcenter110 	 2 	 2 	 35024.84999945259
reliefcenter111 	 0 	 0 	 0.0
reliefcenter112 	 0 	 0 	 0.0
reliefcenter113 	 1 	 1 	 1170.89999979407
reliefcenter114 	 4 	 4 	 11170.399999679757
reliefcenter115 	 3 	 3 	 5902.899999832464
reliefcenter116 	 1 	 1 	 223.3999996858547
reliefcenter117 	 2 	 2 	 9589.199999692057
reliefcenter118 	 1 	 1 	 1239.0999997101899
mainreliefcenter119 	 4 	 4 	 1149.5749997442044
mainreliefcenter120 	 0 	 0 	 0.0
policestation121 	 4 	 4 	 6575.699999728342
publicworks122 	 0 	 0 	 0.0
evacuation123 	 0 	 0 	 0.0
evacuation124 	 0 	 0 	 0.0
evacuation125 	 2 	 2 	 5471.749999757094
evacuation126 	 2 	 2 	 437.94999987853953
evacuation127 	 0 	 0 	 0.0
medical128 	 7 	 7 	 3597.0999998300076
medical129 	 0 	 0 	 0.0
supply130 	 2 	 2 	 17656.14999963171
supply131 	 2 	 2 	 26022.84999938912
supply132 	 0 	 0 	 0.0
supply133 	 4 	 4 	 4436.299999704992
supply134 	 0 	 0 	 0.0
supply135 	 5 	 5 	 25583.399999463127
supply136 	 2 	 2 	 4368.949999722154
supply137 	 1 	 1 	 617.2999997504376
supply138 	 3 	 3 	 615.4999997423923
supply139 	 0 	 0 	 0.0
supply140 	 0 	 0 	 0.0
supply141 	 4 	 4 	 2903.0499998669993
supply142 	 0 	 0 	 0.0
supply143 	 1 	 1 	 1947.0999997562321
supply144 	 0 	 0 	 0.0
supply145 	 1 	 1 	 2974.5999998567604
supply146 	 5 	 5 	 6871.379999711733
supply147 	 0 	 0 	 0.0
supply148 	 0 	 0 	 0.0
supply149 	 2 	 2 	 9834.049999644021
emergency150 	 1 	 1 	 2022.2999996983272
emergency151 	 0 	 0 	 0.0
emergency152 	 0 	 0 	 0.0
emergency153 	 6 	 6 	 43827.68333345207
repairer154 	 0 	 0 	 0.0
rescue155 	 0 	 0 	 0.0
rescue156 	 2 	 0 	 0.0
rescue157 	 0 	 0 	 0.0
rescue158 	 0 	 0 	 0.0
rescue159 	 2 	 2 	 4745.449999686407
rescue160 	 0 	 0 	 0.0
rescue161 	 0 	 0 	 0.0
rescue162 	 3 	 3 	 8686.433332954863
rescue163 	 0 	 0 	 0.0
rescue164 	 0 	 0 	 0.0
rescue165 	 0 	 0 	 0.0
rescue166 	 1 	 1 	 23191.399999566762
rescue167 	 5 	 5 	 8479.779999752252
rescue168 	 1 	 1 	 133.4999997896084
rescue169 	 8 	 8 	 10008.212499658075
rescue170 	 3 	 3 	 4645.866666425535
rescue171 	 1 	 1 	 25814.699999570963
rescue172 	 0 	 0 	 0.0
rescue173 	 3 	 3 	 1900.0666664498156
rescue174 	 2 	 2 	 11393.04999956243
rescue175 	 1 	 1 	 11293.399999640715
rescue176 	 0 	 0 	 0.0
rescue177 	 1 	 1 	 24807.799999350922
rescue178 	 1 	 1 	 10624.299999562441
rescue179 	 0 	 0 	 0.0
rescue180 	 1 	 1 	 9449.5999996112
rescue181 	 0 	 0 	 0.0
rescue182 	 0 	 0 	 0.0
rescue183 	 0 	 0 	 0.0
rescue184 	 5 	 5 	 5236.79999973602
rescue185 	 3 	 3 	 50263.46666672438
rescue186 	 3 	 3 	 9698.866666315373
rescue187 	 1 	 1 	 4831.699999739401
rescue188 	 1 	 1 	 36524.49999940068
rescue189 	 1 	 1 	 6486.699999764678
rescue190 	 3 	 3 	 11919.06666632963
rescue191 	 2 	 2 	 10208.749999585252
rescue192 	 1 	 1 	 1993.3999997928113
rescue193 	 2 	 2 	 11224.049999757208
rescue194 	 2 	 2 	 3156.849999686474
policepatrol195 	 1 	 1 	 3422.599999701233
policepatrol196 	 3 	 3 	 9672.999999750595
policepatrol197 	 5 	 5 	 13719.679999631486
policepatrol198 	 5 	 5 	 4729.339999787641
policepatrol199 	 0 	 0 	 0.0
people200 	 0 	 0 	 0.0
people201 	 4 	 4 	 6164.749999749107
people202 	 0 	 0 	 0.0
people203 	 0 	 0 	 0.0
people204 	 2 	 2 	 1181.9499999037726
people205 	 1 	 1 	 56765.60000018163
people206 	 4 	 4 	 5167.899999734624
people207 	 2 	 2 	 4695.29999975582
people208 	 2 	 2 	 11424.19999972193
people209 	 1 	 1 	 1579.2999998817213
people210 	 4 	 4 	 8686.699999691802
people211 	 0 	 0 	 0.0
people212 	 0 	 0 	 0.0
people213 	 0 	 0 	 0.0
people214 	 2 	 2 	 2579.6999998573847
people215 	 0 	 0 	 0.0
people216 	 2 	 2 	 19380.399999485315
people217 	 0 	 0 	 0.0
people218 	 4 	 4 	 5155.9999997212935
people219 	 1 	 1 	 4427.199999857508
people220 	 2 	 2 	 14047.199999589699
people221 	 0 	 0 	 0.0
people222 	 3 	 3 	 6104.29999964172
people223 	 0 	 0 	 0.0
people224 	 0 	 0 	 0.0
225 	 299 	 286 	 4854.9925019679295 	 84600.00000043648 	 100000000 	 4
