Host 	 Total Query 	 Success
mv11 	 0 	 0
mv24 	 0 	 0
mv14 	 0 	 0
mv13 	 0 	 0
mv17 	 0 	 0
mv27 	 0 	 0
mv29 	 0 	 0
mv20 	 0 	 0
mv32 	 0 	 0
mv34 	 0 	 0
mv7 	 3082 	 30
mv33 	 0 	 0
mv19 	 0 	 0
mv3 	 3135 	 12
mv18 	 0 	 0
mv4 	 3029 	 4
mv5 	 3024 	 16
mv30 	 0 	 0
mv12 	 0 	 0
mv22 	 0 	 0
mv2 	 3081 	 0
mv25 	 0 	 0
mv15 	 0 	 0
st20 	 2955 	 2
mv26 	 0 	 0
mv16 	 0 	 0
mv28 	 0 	 0
mv6 	 3105 	 34
mv21 	 0 	 0
mv31 	 0 	 0
mv9 	 3109 	 43
mv8 	 3082 	 9
mv35 	 0 	 0
mv23 	 0 	 0
mv1 	 3065 	 17
mv10 	 0 	 0
36 	 30667 	 167 	 43200.09999965185 	 200000 	 5
