Host 	 Total Query 	 Success
mv7 	 19994 	 2279
mv4 	 19675 	 2572
mv30 	 0 	 0
mv23 	 0 	 0
mv20 	 0 	 0
mv16 	 0 	 0
mv29 	 0 	 0
mv10 	 0 	 0
mv12 	 0 	 0
mv14 	 0 	 0
mv28 	 0 	 0
mv8 	 19901 	 2458
mv27 	 0 	 0
mv5 	 20105 	 2148
mv22 	 0 	 0
mv2 	 19921 	 2508
mv18 	 0 	 0
st20 	 20036 	 2116
mv21 	 0 	 0
mv11 	 0 	 0
mv3 	 20002 	 2833
mv31 	 0 	 0
mv32 	 0 	 0
mv33 	 0 	 0
mv17 	 0 	 0
mv34 	 0 	 0
mv24 	 0 	 0
mv13 	 0 	 0
mv25 	 0 	 0
mv19 	 0 	 0
mv6 	 20114 	 2167
mv35 	 0 	 0
mv1 	 19994 	 2260
mv26 	 0 	 0
mv15 	 0 	 0
mv9 	 19861 	 2557
36 	 199603 	 23898 	 86400.00000054126 	 200000 	 5
