Host 	 Total Query 	 Success
neighborhood0 	 0 	 0 	 0.0
neighborhood1 	 0 	 0 	 0.0
neighborhood2 	 0 	 0 	 0.0
neighborhood3 	 0 	 0 	 0.0
neighborhood4 	 0 	 0 	 0.0
neighborhood5 	 0 	 0 	 0.0
neighborhood6 	 0 	 0 	 0.0
neighborhood7 	 0 	 0 	 0.0
neighborhood8 	 0 	 0 	 0.0
neighborhood9 	 0 	 0 	 0.0
house10 	 0 	 0 	 0.0
house11 	 0 	 0 	 0.0
house12 	 3 	 0 	 0.0
house13 	 4 	 0 	 0.0
house14 	 2 	 0 	 0.0
house15 	 0 	 0 	 0.0
house16 	 1 	 1 	 0.0
house17 	 0 	 0 	 0.0
house18 	 0 	 0 	 0.0
house19 	 3 	 3 	 0.0
house20 	 5 	 5 	 0.0
house21 	 1 	 0 	 0.0
house22 	 0 	 0 	 0.0
house23 	 1 	 1 	 0.0
house24 	 2 	 0 	 0.0
house25 	 0 	 0 	 0.0
house26 	 0 	 0 	 0.0
house27 	 1 	 0 	 0.0
house28 	 3 	 3 	 0.0
house29 	 0 	 0 	 0.0
house30 	 0 	 0 	 0.0
house31 	 0 	 0 	 0.0
house32 	 1 	 1 	 0.0
house33 	 0 	 0 	 0.0
house34 	 2 	 2 	 0.0
house35 	 4 	 0 	 0.0
house36 	 2 	 0 	 0.0
house37 	 1 	 1 	 0.0
house38 	 2 	 0 	 0.0
house39 	 2 	 2 	 0.0
house40 	 0 	 0 	 0.0
house41 	 0 	 0 	 0.0
house42 	 2 	 0 	 0.0
house43 	 0 	 0 	 0.0
house44 	 0 	 0 	 0.0
house45 	 0 	 0 	 0.0
house46 	 3 	 3 	 0.0
house47 	 0 	 0 	 0.0
house48 	 2 	 0 	 0.0
house49 	 0 	 0 	 0.0
house50 	 0 	 0 	 0.0
house51 	 3 	 3 	 0.0
house52 	 4 	 4 	 0.0
house53 	 1 	 1 	 0.0
house54 	 0 	 0 	 0.0
house55 	 0 	 0 	 0.0
house56 	 4 	 4 	 0.0
house57 	 3 	 3 	 0.0
house58 	 0 	 0 	 0.0
house59 	 0 	 0 	 0.0
house60 	 0 	 0 	 0.0
house61 	 2 	 2 	 0.0
house62 	 1 	 1 	 0.0
house63 	 1 	 1 	 0.0
house64 	 4 	 0 	 0.0
house65 	 1 	 1 	 0.0
house66 	 0 	 0 	 0.0
house67 	 0 	 0 	 0.0
house68 	 0 	 0 	 0.0
house69 	 3 	 3 	 0.0
house70 	 0 	 0 	 0.0
house71 	 2 	 2 	 0.0
house72 	 2 	 2 	 0.0
house73 	 3 	 3 	 0.0
house74 	 6 	 0 	 0.0
house75 	 1 	 1 	 0.0
house76 	 2 	 1 	 0.0
house77 	 2 	 2 	 0.0
house78 	 0 	 0 	 0.0
house79 	 1 	 0 	 0.0
house80 	 1 	 1 	 0.0
house81 	 1 	 1 	 0.0
house82 	 1 	 1 	 0.0
house83 	 2 	 2 	 0.0
house84 	 0 	 0 	 0.0
house85 	 0 	 0 	 0.0
house86 	 2 	 2 	 0.0
house87 	 0 	 0 	 0.0
house88 	 2 	 2 	 0.0
house89 	 0 	 0 	 0.0
house90 	 3 	 3 	 0.0
house91 	 0 	 0 	 0.0
house92 	 1 	 1 	 0.0
house93 	 2 	 2 	 0.0
house94 	 2 	 2 	 0.0
house95 	 2 	 2 	 0.0
house96 	 8 	 8 	 0.0
house97 	 2 	 2 	 0.0
house98 	 3 	 0 	 0.0
house99 	 2 	 0 	 0.0
house100 	 2 	 2 	 0.0
house101 	 5 	 0 	 0.0
house102 	 0 	 0 	 0.0
house103 	 3 	 3 	 0.0
house104 	 1 	 0 	 0.0
house105 	 0 	 0 	 0.0
house106 	 0 	 0 	 0.0
house107 	 1 	 0 	 0.0
house108 	 0 	 0 	 0.0
house109 	 2 	 0 	 0.0
reliefcenter110 	 2 	 2 	 0.0
reliefcenter111 	 0 	 0 	 0.0
reliefcenter112 	 0 	 0 	 0.0
reliefcenter113 	 0 	 0 	 0.0
reliefcenter114 	 1 	 1 	 0.0
reliefcenter115 	 2 	 2 	 0.0
reliefcenter116 	 3 	 3 	 0.0
reliefcenter117 	 3 	 3 	 0.0
reliefcenter118 	 4 	 4 	 0.0
mainreliefcenter119 	 0 	 0 	 0.0
mainreliefcenter120 	 2 	 2 	 0.0
policestation121 	 0 	 0 	 0.0
publicworks122 	 0 	 0 	 0.0
evacuation123 	 1 	 1 	 0.0
evacuation124 	 2 	 0 	 0.0
evacuation125 	 3 	 3 	 0.0
evacuation126 	 0 	 0 	 0.0
evacuation127 	 2 	 2 	 0.0
medical128 	 0 	 0 	 0.0
medical129 	 1 	 1 	 0.0
supply130 	 2 	 2 	 0.0
supply131 	 1 	 1 	 0.0
supply132 	 1 	 0 	 0.0
supply133 	 0 	 0 	 0.0
supply134 	 1 	 1 	 0.0
supply135 	 4 	 4 	 0.0
supply136 	 0 	 0 	 0.0
supply137 	 0 	 0 	 0.0
supply138 	 2 	 2 	 0.0
supply139 	 0 	 0 	 0.0
supply140 	 1 	 0 	 0.0
supply141 	 1 	 1 	 0.0
supply142 	 2 	 2 	 0.0
supply143 	 0 	 0 	 0.0
supply144 	 0 	 0 	 0.0
supply145 	 0 	 0 	 0.0
supply146 	 1 	 1 	 0.0
supply147 	 3 	 3 	 0.0
supply148 	 0 	 0 	 0.0
supply149 	 0 	 0 	 0.0
emergency150 	 0 	 0 	 0.0
emergency151 	 0 	 0 	 0.0
emergency152 	 6 	 0 	 0.0
emergency153 	 1 	 1 	 0.0
repairer154 	 0 	 0 	 0.0
rescue155 	 8 	 8 	 0.0
rescue156 	 0 	 0 	 0.0
rescue157 	 0 	 0 	 0.0
rescue158 	 6 	 6 	 0.0
rescue159 	 4 	 4 	 0.0
rescue160 	 0 	 0 	 0.0
rescue161 	 1 	 1 	 0.0
rescue162 	 0 	 0 	 0.0
rescue163 	 0 	 0 	 0.0
rescue164 	 6 	 6 	 0.0
rescue165 	 1 	 1 	 0.0
rescue166 	 3 	 3 	 0.0
rescue167 	 0 	 0 	 0.0
rescue168 	 0 	 0 	 0.0
rescue169 	 0 	 0 	 0.0
rescue170 	 2 	 2 	 0.0
rescue171 	 4 	 4 	 0.0
rescue172 	 1 	 1 	 0.0
rescue173 	 3 	 3 	 0.0
rescue174 	 1 	 1 	 0.0
rescue175 	 5 	 5 	 0.0
rescue176 	 1 	 1 	 0.0
rescue177 	 2 	 2 	 0.0
rescue178 	 0 	 0 	 0.0
rescue179 	 0 	 0 	 0.0
rescue180 	 2 	 0 	 0.0
rescue181 	 0 	 0 	 0.0
rescue182 	 0 	 0 	 0.0
rescue183 	 1 	 1 	 0.0
rescue184 	 0 	 0 	 0.0
rescue185 	 1 	 1 	 0.0
rescue186 	 2 	 2 	 0.0
rescue187 	 0 	 0 	 0.0
rescue188 	 1 	 1 	 0.0
rescue189 	 6 	 6 	 0.0
rescue190 	 1 	 1 	 0.0
rescue191 	 5 	 5 	 0.0
rescue192 	 0 	 0 	 0.0
rescue193 	 0 	 0 	 0.0
rescue194 	 0 	 0 	 0.0
policepatrol195 	 1 	 1 	 0.0
policepatrol196 	 0 	 0 	 0.0
policepatrol197 	 1 	 1 	 0.0
policepatrol198 	 0 	 0 	 0.0
policepatrol199 	 3 	 0 	 0.0
people200 	 0 	 0 	 0.0
people201 	 0 	 0 	 0.0
people202 	 4 	 0 	 0.0
people203 	 3 	 3 	 0.0
people204 	 2 	 2 	 0.0
people205 	 1 	 0 	 0.0
people206 	 2 	 2 	 0.0
people207 	 0 	 0 	 0.0
people208 	 0 	 0 	 0.0
people209 	 3 	 0 	 0.0
people210 	 0 	 0 	 0.0
people211 	 2 	 0 	 0.0
people212 	 4 	 0 	 0.0
people213 	 1 	 0 	 0.0
people214 	 1 	 1 	 0.0
people215 	 0 	 0 	 0.0
people216 	 2 	 2 	 0.0
people217 	 4 	 3 	 0.0
people218 	 0 	 0 	 0.0
people219 	 0 	 0 	 0.0
people220 	 1 	 0 	 0.0
people221 	 2 	 2 	 0.0
people222 	 2 	 0 	 0.0
people223 	 0 	 0 	 0.0
people224 	 0 	 0 	 0.0
225 	 299 	 214 	 0.0 	 84600.00000043648 	 100000000 	 3
