Host 	 Total Query 	 Success
neighborhood0 	 0 	 0 	 0.0
neighborhood1 	 0 	 0 	 0.0
neighborhood2 	 0 	 0 	 0.0
neighborhood3 	 0 	 0 	 0.0
neighborhood4 	 0 	 0 	 0.0
neighborhood5 	 0 	 0 	 0.0
neighborhood6 	 0 	 0 	 0.0
neighborhood7 	 0 	 0 	 0.0
neighborhood8 	 0 	 0 	 0.0
neighborhood9 	 0 	 0 	 0.0
house10 	 0 	 0 	 0.0
house11 	 0 	 0 	 0.0
house12 	 0 	 0 	 0.0
house13 	 1 	 0 	 0.0
house14 	 0 	 0 	 0.0
house15 	 0 	 0 	 0.0
house16 	 2 	 2 	 30826.949999482425
house17 	 0 	 0 	 0.0
house18 	 4 	 4 	 8062.724999747912
house19 	 0 	 0 	 0.0
house20 	 2 	 2 	 4204.8499996973005
house21 	 3 	 0 	 0.0
house22 	 1 	 1 	 26848.299999496317
house23 	 3 	 3 	 10225.666666269057
house24 	 2 	 0 	 0.0
house25 	 0 	 0 	 0.0
house26 	 0 	 0 	 0.0
house27 	 1 	 0 	 0.0
house28 	 1 	 1 	 37291.099999425845
house29 	 0 	 0 	 0.0
house30 	 3 	 3 	 22400.23333284074
house31 	 0 	 0 	 0.0
house32 	 1 	 1 	 5571.199999792436
house33 	 0 	 0 	 0.0
house34 	 1 	 1 	 4041.0999998482257
house35 	 0 	 0 	 0.0
house36 	 0 	 0 	 0.0
house37 	 3 	 3 	 10472.533333059879
house38 	 0 	 0 	 0.0
house39 	 2 	 1 	 3966.5999998884254
house40 	 0 	 0 	 0.0
house41 	 5 	 5 	 4982.059999785827
house42 	 2 	 0 	 0.0
house43 	 0 	 0 	 0.0
house44 	 3 	 0 	 0.0
house45 	 4 	 4 	 25929.849999493734
house46 	 0 	 0 	 0.0
house47 	 5 	 5 	 32158.299999425937
house48 	 0 	 0 	 0.0
house49 	 1 	 1 	 4056.5999996365936
house50 	 0 	 0 	 0.0
house51 	 4 	 4 	 10574.249999602518
house52 	 1 	 1 	 15570.699999697681
house53 	 2 	 2 	 10810.549999602339
house54 	 2 	 2 	 2224.949999656612
house55 	 2 	 2 	 1286.6499997888932
house56 	 2 	 2 	 3044.5499997451498
house57 	 0 	 0 	 0.0
house58 	 0 	 0 	 0.0
house59 	 3 	 3 	 1194.3666664018758
house60 	 0 	 0 	 0.0
house61 	 0 	 0 	 0.0
house62 	 1 	 1 	 37185.29999937197
house63 	 0 	 0 	 0.0
house64 	 1 	 0 	 0.0
house65 	 3 	 3 	 9611.79999960232
house66 	 1 	 0 	 0.0
house67 	 1 	 0 	 0.0
house68 	 0 	 0 	 0.0
house69 	 2 	 2 	 4936.14999974021
house70 	 2 	 2 	 2877.249999718948
house71 	 0 	 0 	 0.0
house72 	 2 	 2 	 25541.749999425923
house73 	 0 	 0 	 0.0
house74 	 1 	 1 	 61471.60000036894
house75 	 1 	 1 	 45849.79999965428
house76 	 1 	 0 	 0.0
house77 	 0 	 0 	 0.0
house78 	 1 	 1 	 17597.799999685878
house79 	 5 	 0 	 0.0
house80 	 0 	 0 	 0.0
house81 	 1 	 1 	 1232.399999881647
house82 	 0 	 0 	 0.0
house83 	 4 	 4 	 20179.649999496036
house84 	 0 	 0 	 0.0
house85 	 0 	 0 	 0.0
house86 	 0 	 0 	 0.0
house87 	 0 	 0 	 0.0
house88 	 0 	 0 	 0.0
house89 	 7 	 7 	 13682.657142525353
house90 	 0 	 0 	 0.0
house91 	 3 	 3 	 5874.9999996539045
house92 	 0 	 0 	 0.0
house93 	 1 	 1 	 7670.699999824745
house94 	 2 	 2 	 465.69999971539073
house95 	 0 	 0 	 0.0
house96 	 0 	 0 	 0.0
house97 	 0 	 0 	 0.0
house98 	 0 	 0 	 0.0
house99 	 0 	 0 	 0.0
house100 	 0 	 0 	 0.0
house101 	 1 	 0 	 0.0
house102 	 1 	 1 	 44155.69999965625
house103 	 2 	 2 	 36635.64999939175
house104 	 0 	 0 	 0.0
house105 	 3 	 0 	 0.0
house106 	 3 	 3 	 20145.53333281574
house107 	 4 	 0 	 0.0
house108 	 0 	 0 	 0.0
house109 	 0 	 0 	 0.0
reliefcenter110 	 2 	 2 	 8949.949999674815
reliefcenter111 	 0 	 0 	 0.0
reliefcenter112 	 0 	 0 	 0.0
reliefcenter113 	 1 	 1 	 495.69999980389184
reliefcenter114 	 4 	 4 	 7287.649999736259
reliefcenter115 	 3 	 3 	 6686.066666487734
reliefcenter116 	 1 	 1 	 3676.599999635604
reliefcenter117 	 2 	 2 	 5025.549999758467
reliefcenter118 	 1 	 1 	 4955.899999656103
mainreliefcenter119 	 4 	 4 	 525.974999753279
mainreliefcenter120 	 0 	 0 	 0.0
policestation121 	 4 	 4 	 1773.2999997982242
publicworks122 	 0 	 0 	 0.0
evacuation123 	 0 	 0 	 0.0
evacuation124 	 0 	 0 	 0.0
evacuation125 	 2 	 2 	 8578.099999711892
evacuation126 	 2 	 2 	 11397.54999971906
evacuation127 	 0 	 0 	 0.0
medical128 	 7 	 7 	 3652.4142855434884
medical129 	 0 	 0 	 0.0
supply130 	 2 	 2 	 14940.749999671225
supply131 	 2 	 2 	 19609.94999948244
supply132 	 0 	 0 	 0.0
supply133 	 4 	 4 	 3763.4999997147825
supply134 	 0 	 0 	 0.0
supply135 	 5 	 5 	 8288.199999714807
supply136 	 2 	 2 	 1472.7999997642964
supply137 	 1 	 1 	 462.6999997526873
supply138 	 3 	 3 	 4563.266666351611
supply139 	 0 	 0 	 0.0
supply140 	 0 	 0 	 0.0
supply141 	 4 	 4 	 3875.599999852847
supply142 	 0 	 0 	 0.0
supply143 	 1 	 1 	 2447.799999748946
supply144 	 0 	 0 	 0.0
supply145 	 1 	 0 	 0.0
supply146 	 5 	 5 	 19930.4999995217
supply147 	 0 	 0 	 0.0
supply148 	 0 	 0 	 0.0
supply149 	 2 	 2 	 35678.34999956234
emergency150 	 1 	 1 	 29993.999999468957
emergency151 	 0 	 0 	 0.0
emergency152 	 0 	 0 	 0.0
emergency153 	 6 	 6 	 11010.949999662751
repairer154 	 0 	 0 	 0.0
rescue155 	 0 	 0 	 0.0
rescue156 	 2 	 2 	 13389.249999719414
rescue157 	 0 	 0 	 0.0
rescue158 	 0 	 0 	 0.0
rescue159 	 2 	 2 	 17809.999999832176
rescue160 	 0 	 0 	 0.0
rescue161 	 0 	 0 	 0.0
rescue162 	 3 	 3 	 5583.33333300002
rescue163 	 0 	 0 	 0.0
rescue164 	 0 	 0 	 0.0
rescue165 	 0 	 0 	 0.0
rescue166 	 1 	 1 	 5745.999999820622
rescue167 	 5 	 5 	 6419.419999782234
rescue168 	 1 	 1 	 10164.799999643634
rescue169 	 8 	 8 	 28111.549999394636
rescue170 	 3 	 3 	 10429.499999674706
rescue171 	 1 	 1 	 29068.299999523617
rescue172 	 0 	 0 	 0.0
rescue173 	 3 	 3 	 8072.566666359994
rescue174 	 2 	 2 	 17475.849999473914
rescue175 	 1 	 1 	 4357.999999741638
rescue176 	 0 	 0 	 0.0
rescue177 	 1 	 1 	 6621.4999996155675
rescue178 	 1 	 1 	 8262.299999596813
rescue179 	 0 	 0 	 0.0
rescue180 	 1 	 0 	 0.0
rescue181 	 0 	 0 	 0.0
rescue182 	 0 	 0 	 0.0
rescue183 	 0 	 0 	 0.0
rescue184 	 5 	 5 	 5619.8999997304445
rescue185 	 3 	 3 	 26238.266666160373
rescue186 	 3 	 3 	 12005.9666662818
rescue187 	 1 	 0 	 0.0
rescue188 	 1 	 1 	 14457.599999721795
rescue189 	 1 	 1 	 36557.29999932709
rescue190 	 3 	 3 	 5333.9333330921245
rescue191 	 2 	 2 	 12565.149999550962
rescue192 	 1 	 0 	 0.0
rescue193 	 2 	 2 	 19567.549999635794
rescue194 	 2 	 2 	 5646.199999650249
policepatrol195 	 1 	 1 	 5003.499999678228
policepatrol196 	 3 	 3 	 2065.2999998613013
policepatrol197 	 5 	 5 	 6252.4199997401465
policepatrol198 	 5 	 5 	 2765.5399998162184
policepatrol199 	 0 	 0 	 0.0
people200 	 0 	 0 	 0.0
people201 	 4 	 0 	 0.0
people202 	 0 	 0 	 0.0
people203 	 0 	 0 	 0.0
people204 	 2 	 2 	 40141.04999933684
people205 	 1 	 0 	 0.0
people206 	 4 	 4 	 7332.674999703124
people207 	 2 	 2 	 12429.349999643277
people208 	 2 	 2 	 5704.349999805163
people209 	 1 	 0 	 0.0
people210 	 4 	 4 	 3590.974999765952
people211 	 0 	 0 	 0.0
people212 	 0 	 0 	 0.0
people213 	 0 	 0 	 0.0
people214 	 2 	 2 	 6514.34999980013
people215 	 0 	 0 	 0.0
people216 	 2 	 2 	 15663.349999639664
people217 	 0 	 0 	 0.0
people218 	 4 	 4 	 5508.899999716159
people219 	 1 	 1 	 5636.499999839911
people220 	 2 	 0 	 0.0
people221 	 0 	 0 	 0.0
people222 	 3 	 0 	 0.0
people223 	 0 	 0 	 0.0
people224 	 0 	 0 	 0.0
225 	 299 	 254 	 5680.06286546284 	 84600.00000043648 	 100000000 	 3
