Host 	 Total Query 	 Success
p34 	 0 	 0
w107 	 0 	 0
w89 	 0 	 0
p1 	 0 	 0
p9 	 0 	 0
w118 	 0 	 0
w113 	 0 	 0
w111 	 0 	 0
c79 	 0 	 0
p24 	 0 	 0
c62 	 0 	 0
c69 	 0 	 0
p19 	 0 	 0
c54 	 0 	 0
w97 	 0 	 0
c49 	 0 	 0
p25 	 0 	 0
w99 	 0 	 0
c50 	 0 	 0
w81 	 0 	 0
w95 	 0 	 0
p17 	 0 	 0
w100 	 0 	 0
c48 	 0 	 0
t123 	 0 	 0
w83 	 0 	 0
c56 	 0 	 0
w90 	 0 	 0
c60 	 0 	 0
p29 	 0 	 0
t125 	 0 	 0
w101 	 0 	 0
c52 	 0 	 0
w84 	 0 	 0
p27 	 0 	 0
w110 	 0 	 0
c65 	 0 	 0
c45 	 0 	 0
c51 	 0 	 0
p23 	 0 	 0
t120 	 0 	 0
c73 	 0 	 0
c77 	 0 	 0
c67 	 0 	 0
c71 	 0 	 0
c58 	 0 	 0
p26 	 0 	 0
p21 	 0 	 0
c43 	 0 	 0
w82 	 0 	 0
w112 	 0 	 0
p11 	 0 	 0
p13 	 0 	 0
p37 	 0 	 0
w96 	 0 	 0
c76 	 0 	 0
w114 	 0 	 0
w91 	 0 	 0
p2 	 0 	 0
w87 	 0 	 0
w109 	 0 	 0
p16 	 0 	 0
c41 	 0 	 0
c68 	 0 	 0
w119 	 0 	 0
p35 	 0 	 0
p22 	 0 	 0
c40 	 0 	 0
p7 	 0 	 0
c46 	 0 	 0
w88 	 0 	 0
c44 	 0 	 0
w80 	 0 	 0
c61 	 0 	 0
c64 	 0 	 0
c55 	 0 	 0
p30 	 0 	 0
p0 	 0 	 0
w104 	 0 	 0
w102 	 0 	 0
p3 	 0 	 0
c63 	 0 	 0
w103 	 0 	 0
t121 	 0 	 0
w93 	 0 	 0
c70 	 0 	 0
c42 	 0 	 0
w85 	 0 	 0
w94 	 0 	 0
w106 	 0 	 0
p38 	 0 	 0
p32 	 0 	 0
w105 	 0 	 0
c59 	 0 	 0
p20 	 0 	 0
p33 	 0 	 0
p28 	 0 	 0
t124 	 0 	 0
c47 	 0 	 0
p18 	 0 	 0
p36 	 0 	 0
c78 	 0 	 0
p10 	 0 	 0
p39 	 0 	 0
p15 	 0 	 0
c57 	 0 	 0
p6 	 0 	 0
c66 	 0 	 0
p4 	 0 	 0
p14 	 0 	 0
p8 	 0 	 0
w108 	 0 	 0
t122 	 0 	 0
p31 	 0 	 0
c74 	 0 	 0
w98 	 0 	 0
w86 	 0 	 0
c53 	 0 	 0
w115 	 0 	 0
w92 	 0 	 0
w116 	 0 	 0
c75 	 0 	 0
c72 	 0 	 0
p12 	 0 	 0
p5 	 0 	 0
w117 	 0 	 0
126 	 0 	 0 	 43200.09999965185 	 5000 	 5
