Host 	 Total Query 	 Success
st20 	 138 	 0 	 0.0
mv1 	 178 	 5 	 67277.44000302083
mv2 	 136 	 5 	 33301.30000123936
mv3 	 145 	 5 	 50282.30000164639
mv4 	 143 	 3 	 67937.80000351352
mv5 	 141 	 6 	 59798.74000230166
mv6 	 121 	 7 	 47773.76666888417
mv7 	 142 	 13 	 35923.600001529725
mv8 	 121 	 9 	 36707.250001515145
mv9 	 172 	 10 	 61653.31428809121
mv10 	 143 	 14 	 58928.48889139411
mv11 	 109 	 8 	 46268.30000242014
mv12 	 156 	 3 	 41683.066668148735
mv13 	 149 	 5 	 50539.42500133354
mv14 	 138 	 9 	 57858.64444717094
mv15 	 146 	 10 	 35389.45000143537
mv16 	 119 	 10 	 52435.400001900256
mv17 	 160 	 11 	 57687.76250267513
mv18 	 141 	 7 	 38823.14000139364
mv19 	 146 	 6 	 52471.77500267164
mv20 	 147 	 2 	 56569.45000234392
mv21 	 153 	 1 	 118092.80000500116
mv22 	 135 	 2 	 72233.55000233182
mv23 	 129 	 5 	 51993.84000272801
mv24 	 111 	 4 	 62871.000003090696
mv25 	 154 	 4 	 61877.77500251669
mv26 	 144 	 8 	 51549.37500257441
mv27 	 120 	 0 	 0.0
mv28 	 139 	 11 	 62117.8875026231
mv29 	 118 	 8 	 36737.25000164262
mv30 	 135 	 2 	 71603.80000375918
mv31 	 153 	 13 	 56458.91818398673
mv32 	 138 	 7 	 52215.36666895582
mv33 	 138 	 9 	 83510.10000402648
mv34 	 109 	 8 	 53506.24285912806
mv35 	 123 	 5 	 88836.32500422394
36 	 4990 	 235 	 53692.07343725606 	 172800.0000055704 	 500 	 5
